2026-02-01 17:50:55.256 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: server rejected WebSocket connection: HTTP 401
2026-02-01 17:51:00.499 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: server rejected WebSocket connection: HTTP 401
2026-02-01 17:51:00.501 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: server rejected WebSocket connection: HTTP 401
2026-02-01 17:51:04.235 | INFO     | main:stop:294 - Stopping Whale Watcher...
2026-02-01 17:51:04.235 | INFO     | src.alerts.alert_manager:_process_alerts:164 - Alert processor stopped
2026-02-01 17:51:04.236 | INFO     | src.alerts.slack_bot:stop:90 - Slack bot stopped
2026-02-01 17:51:04.236 | INFO     | src.alerts.alert_manager:stop:111 - Alert manager stopped
2026-02-01 17:51:04.389 | INFO     | src.platforms.polymarket:disconnect:241 - Disconnected from Polymarket WebSocket
2026-02-01 17:51:04.389 | INFO     | src.platforms.kalshi:disconnect:328 - Disconnected from Kalshi WebSocket
2026-02-01 17:51:04.389 | INFO     | main:stop:318 - Whale Watcher stopped
2026-02-01 17:52:19.674 | INFO     | src.database.db:init:68 - Database initialized at /tmp/whale_watcher.db
2026-02-01 17:52:19.676 | INFO     | main:initialize:160 - Database initialized: /tmp/whale_watcher.db
2026-02-01 17:52:19.676 | INFO     | main:initialize:188 - Polymarket client initialized
2026-02-01 17:52:19.676 | INFO     | main:initialize:195 - Initialization complete
2026-02-01 17:52:19.676 | INFO     | main:start:247 - Starting Whale Watcher...
2026-02-01 17:52:19.933 | INFO     | src.alerts.slack_bot:initialize:70 - Slack webhook verified successfully
2026-02-01 17:52:19.934 | INFO     | src.alerts.slack_bot:start:83 - Slack bot started
2026-02-01 17:52:19.934 | INFO     | src.alerts.alert_manager:start:89 - Alert manager started
2026-02-01 17:52:19.934 | INFO     | main:start:266 - Whale Watcher started - monitoring for whale activity
2026-02-01 17:52:19.934 | INFO     | src.alerts.alert_manager:_process_alerts:124 - Alert processor started
2026-02-01 17:52:19.934 | INFO     | main:_run_platform:277 - Starting Polymarket WebSocket listener...
2026-02-01 17:52:20.300 | INFO     | src.platforms.polymarket:connect:219 - Connected to Polymarket WebSocket
2026-02-01 17:54:19.682 | INFO     | main:stop:294 - Stopping Whale Watcher...
2026-02-01 17:54:19.689 | INFO     | src.alerts.alert_manager:_process_alerts:164 - Alert processor stopped
2026-02-01 17:54:19.690 | INFO     | src.alerts.slack_bot:stop:90 - Slack bot stopped
2026-02-01 17:54:19.690 | INFO     | src.alerts.alert_manager:stop:111 - Alert manager stopped
2026-02-01 17:54:19.850 | INFO     | src.platforms.polymarket:disconnect:241 - Disconnected from Polymarket WebSocket
2026-02-01 17:54:19.850 | INFO     | main:stop:318 - Whale Watcher stopped
2026-02-01 17:54:38.071 | INFO     | src.database.db:init:68 - Database initialized at /tmp/whale_watcher.db
2026-02-01 17:54:38.072 | INFO     | main:initialize:160 - Database initialized: /tmp/whale_watcher.db
2026-02-01 17:54:38.072 | INFO     | main:initialize:188 - Polymarket client initialized
2026-02-01 17:54:38.072 | INFO     | main:initialize:195 - Initialization complete
2026-02-01 17:54:38.072 | INFO     | main:start:247 - Starting Whale Watcher...
2026-02-01 17:54:38.291 | INFO     | src.alerts.slack_bot:initialize:70 - Slack webhook verified successfully
2026-02-01 17:54:38.292 | INFO     | src.alerts.slack_bot:start:83 - Slack bot started
2026-02-01 17:54:38.292 | INFO     | src.alerts.alert_manager:start:89 - Alert manager started
2026-02-01 17:54:38.292 | INFO     | main:start:266 - Whale Watcher started - monitoring for whale activity
2026-02-01 17:54:38.292 | INFO     | src.alerts.alert_manager:_process_alerts:124 - Alert processor started
2026-02-01 17:54:38.292 | INFO     | main:_run_platform:277 - Starting Polymarket WebSocket listener...
2026-02-01 17:54:38.655 | INFO     | src.platforms.polymarket:connect:219 - Connected to Polymarket WebSocket
2026-02-01 17:57:38.079 | INFO     | main:stop:294 - Stopping Whale Watcher...
2026-02-01 17:57:38.082 | INFO     | src.alerts.alert_manager:_process_alerts:164 - Alert processor stopped
2026-02-01 17:57:38.084 | INFO     | src.alerts.slack_bot:stop:90 - Slack bot stopped
2026-02-01 17:57:38.084 | INFO     | src.alerts.alert_manager:stop:111 - Alert manager stopped
2026-02-01 17:57:38.235 | INFO     | src.platforms.polymarket:disconnect:241 - Disconnected from Polymarket WebSocket
2026-02-01 17:57:38.235 | INFO     | main:stop:318 - Whale Watcher stopped
2026-02-01 17:57:57.647 | INFO     | src.database.db:init:68 - Database initialized at /tmp/whale_watcher.db
2026-02-01 17:57:57.647 | INFO     | main:initialize:160 - Database initialized: /tmp/whale_watcher.db
2026-02-01 17:57:57.647 | INFO     | main:initialize:188 - Polymarket client initialized
2026-02-01 17:57:57.647 | INFO     | main:initialize:195 - Initialization complete
2026-02-01 17:57:57.647 | INFO     | main:start:247 - Starting Whale Watcher...
2026-02-01 17:57:57.866 | INFO     | src.alerts.slack_bot:initialize:70 - Slack webhook verified successfully
2026-02-01 17:57:57.866 | INFO     | src.alerts.slack_bot:start:83 - Slack bot started
2026-02-01 17:57:57.866 | INFO     | src.alerts.alert_manager:start:89 - Alert manager started
